Id,Label
BILL STEPIEN,BILL STEPIEN
STEVEN N. CHEUNG,STEVEN N. CHEUNG
ROBERT GOAD,ROBERT GOAD
SEAN HANNITY,SEAN HANNITY
BRIAN BAUDREAU,BRIAN BAUDREAU
JAMES SHERK,JAMES SHERK
DAVID SHULKIN,DAVID SHULKIN
STEPHEN A. SCHWARZMAN,STEPHEN A. SCHWARZMAN
GEORGE E. NORCROSS III,GEORGE E. NORCROSS III
JOE HAGIN,JOE HAGIN
JAMES UTHMEIER,JAMES UTHMEIER
MICHELLE BACHMANN,MICHELLE BACHMANN
JOHN KYL,JOHN KYL
YOUSEF AL-OTAIBA,YOUSEF AL-OTAIBA
DAVID WILDSTEIN,DAVID WILDSTEIN
AVRAHM BERKOWITZ,AVRAHM BERKOWITZ
SUSAN POMPEO,SUSAN POMPEO
VIKTOR TKACHUK,VIKTOR TKACHUK
NIGEL FARAGE,NIGEL FARAGE
TUCKER CARLSON,TUCKER CARLSON
JUSTIN WENIGER,JUSTIN WENIGER
ERIC HOLCOMB,ERIC HOLCOMB
MICHAEL MURRAY,MICHAEL MURRAY
ANDRIY ZAIKA,ANDRIY ZAIKA
RUSSELL FLICKER,RUSSELL FLICKER
BONNIE HAYDON,BONNIE HAYDON
VANESSA TRUMP,VANESSA TRUMP
ABDUL RAHMAN AL-ASSIR,ABDUL RAHMAN AL-ASSIR
MALLORY HUNTER,MALLORY HUNTER
KATIE WALSH,KATIE WALSH
CAROLINE MAY,CAROLINE MAY
DAVID HOROWITZ,DAVID HOROWITZ
GARRETT MURCH,GARRETT MURCH
MARGARET CHIN,MARGARET CHIN
STEPHANIE WINSTON WOLKOFF,STEPHANIE WINSTON WOLKOFF
VIKTOR F. YANUKOVYCH,VIKTOR F. YANUKOVYCH
RINAT AKHMETOV,RINAT AKHMETOV
DMITRY FIRTASH,DMITRY FIRTASH
PAULO FIGUEIREDO FILHO,PAULO FIGUEIREDO FILHO
MIKE FERGUSON,MIKE FERGUSON
LINDSEY REYNOLDS,LINDSEY REYNOLDS
RYAN DOHERTY,RYAN DOHERTY
AVRAM LEBOR,AVRAM LEBOR
SAM BROWNBACK,SAM BROWNBACK
RICHARD DEVOS,RICHARD DEVOS
ROB SPEYER,ROB SPEYER
