Id,Label
"Dudley, Helen","Dudley, Helen"
"Towne, Charles Hanson","Towne, Charles Hanson"
R. G.,R. G.
"Turbyfill, Mark","Turbyfill, Mark"
Man Ray,Man Ray
"Fox, Moireen","Fox, Moireen"
"Deutsch, Babette","Deutsch, Babette"
"Gilmore, Louis","Gilmore, Louis"
"Williams, William Carlos","Williams, William Carlos"
"Bryant, Louise","Bryant, Louise"
"Solon, Israel","Solon, Israel"
E. T.,E. T.
"Gibson, Wilfrid Wilson","Gibson, Wilfrid Wilson"
"Wheelock, John Hall","Wheelock, John Hall"
"Stearns, Mary Adams","Stearns, Mary Adams"
"Nichols, Robert","Nichols, Robert"
"Crawford, Nelson Antrim","Crawford, Nelson Antrim"
"Alvord, James Church","Alvord, James Church"
"Carnevali, Emanuel","Carnevali, Emanuel"
A Boy Reader,A Boy Reader
"Fujita, Jun","Fujita, Jun"
"Long, Haniel","Long, Haniel"
"Hughes, Richard","Hughes, Richard"
"Stevens, Thomas Wood","Stevens, Thomas Wood"
"Cary, Lucien","Cary, Lucien"
"Ravenel, Beatrice","Ravenel, Beatrice"
"Seiffert, Marjorie Allen","Seiffert, Marjorie Allen"
"Untermeyer, Louis","Untermeyer, Louis"
"Sapir, Edward","Sapir, Edward"
"Iris, Scharmel","Iris, Scharmel"
"Fischer, Raymond P.","Fischer, Raymond P."
"Phelps, Arthur L.","Phelps, Arthur L."
"Hall, Hazel","Hall, Hazel"
"Buss, Kate","Buss, Kate"
H. H.,H. H.
"Fenollosa, Ernest","Fenollosa, Ernest"
"Butler, Samuel","Butler, Samuel"
"Rich, H. Thompson","Rich, H. Thompson"
"North, Jessica Nelson","North, Jessica Nelson"
"Curran, Edwin","Curran, Edwin"
"Tanner, Allan","Tanner, Allan"
"Redfield, Louise","Redfield, Louise"
"Cawein, Madison","Cawein, Madison"
"Masters, Edgar Lee","Masters, Edgar Lee"
"Boyle, Kay","Boyle, Kay"
"O'Neil, David","O'Neil, David"
"Scott, Evelyn","Scott, Evelyn"
"Laurencin, Marie","Laurencin, Marie"
"Mastin, Florence Ripley","Mastin, Florence Ripley"
"Zorach, William","Zorach, William"
"Winthrop, Arthur","Winthrop, Arthur"
"Shanafelt, Clara","Shanafelt, Clara"
M. M.,M. M.
"Coatsworth, Elizabeth J.","Coatsworth, Elizabeth J."
"Kenton, Edna","Kenton, Edna"
"Kueffner, Louise","Kueffner, Louise"
"Lesemann, Maurice","Lesemann, Maurice"
